fitted,residual,district
31.888377057315996,-15.638377057315996,ahmadnagar
22.160682125366414,-2.1606821253664137,ahmadnagar
16.72860547302868,6.271394526971321,ahmadnagar
21.473596977126977,20.193069689539687,ahmadnagar
19.60053495590574,9.39946504409426,ahmadnagar
23.345470171455506,10.95452982854449,ahmadnagar
17.63771857640953,3.3622814235904706,ahmadnagar
18.755888988466257,-3.755888988466257,ahmadnagar
21.08871234668879,7.661287653311209,ahmadnagar
31.690133516912134,-6.690133516912134,ahmadnagar
23.426955212523325,2.6980447874766753,ahmadnagar
26.765465288554655,-11.565465288554655,ahmadnagar
19.582966888977744,-11.457966888977744,ahmadnagar
19.67942221398403,1.3205777860159706,ahmadnagar
25.775653381598122,2.8243466184018793,ahmadnagar
22.88143117316215,-4.5480978398288165,ahmadnagar
26.143700364420557,-7.41642763714783,ahmadnagar
20.037650443222823,2.462349556777177,ahmadnagar
21.126779641658022,-1.1267796416580218,ahmadnagar
20.99196679732527,1.0080332026747314,ahmadnagar
22.471973090341677,-8.305306423675011,ahmadnagar
27.653421508835716,22.346578491164284,ahmadnagar
19.648142780097658,2.6851905532356746,ahmadnagar
24.151886286664677,-1.2947434295218194,ahmadnagar
22.09166272308989,-3.691662723089891,ahmadnagar
15.937032976236727,-7.937032976236727,ahmadnagar
15.207649644127136,-5.207649644127136,ahmadnagar
22.489145716993367,1.5108542830066334,ahmadnagar
23.421122820023903,6.5788771799760966,ahmadnagar
24.62898226015209,25.37101773984791,ahmadnagar
23.642319785647718,16.357680214352282,ahmadnagar
19.303501512495615,3.1964984875043854,ahmadnagar
29.57883672051552,-7.66217005384885,ahmadnagar
29.685677144923773,-18.53183099107762,ahmadnagar
23.93733916364312,15.395994169690216,ahmadnagar
28.334120021281507,11.665879978718493,ahmadnagar
21.283278535803237,5.14529289276819,ahmadnagar
26.898402967018875,-5.898402967018875,ahmadnagar
15.535397273927622,-14.535397273927622,ahmadnagar
21.135596695364153,21.06440330463585,ahmadnagar
17.888835016483718,-0.38883501648371777,ahmadnagar
20.405057501806002,-0.4050575018060023,ahmadnagar
20.620925131027736,-4.620925131027736,ahmadnagar
20.460177055456867,-11.460177055456867,ahmadnagar
17.15865758529807,11.508009081368598,ahmadnagar
17.597413915772933,-8.702677073667669,ahmadnagar
20.508332994410452,-10.508332994410452,ahmadnagar
21.514222978455102,-2.764222978455102,ahmadnagar
23.349862624257366,-14.349862624257366,ahmadnagar
14.818946141802877,-13.818946141802877,ahmadnagar
18.40537990456716,-8.405379904567159,ahmadnagar
19.0438661727165,9.706133827283502,ahmadnagar
22.707047463952634,2.792952536047366,ahmadnagar
18.210610792231616,8.289389207768384,ahmadnagar
19.3993362898763,16.6006637101237,ahmadnagar
15.24622119179174,-5.24622119179174,ahmadnagar
19.295282759652263,-3.295282759652263,ahmadnagar
21.15669639163275,8.84330360836725,ahmadnagar
15.238873579000886,7.261126420999114,ahmadnagar
22.083994226955564,-5.083994226955564,ahmadnagar
25.932362526089232,2.4676374739107665,ahmadnagar
19.217066906402763,10.782933093597237,ahmadnagar
18.908810342297116,3.591189657702884,ahmadnagar
19.962453444825545,-3.9624534448255453,ahmadnagar
19.436407371689604,7.706449771167538,ahmadnagar
19.6695751983806,11.997091468286069,ahmadnagar
22.811793820112424,0.938206179887576,ahmadnagar
17.098161620648302,-8.598161620648302,ahmadnagar
19.91726159230662,-18.51726159230662,ahmadnagar
23.112032316238928,3.8879676837610724,ahmadnagar
19.217226144711017,-7.217226144711017,ahmadnagar
24.105362519066837,-5.855362519066837,ahmadnagar
22.148130800878562,-4.648130800878562,ahmadnagar
16.028805150235012,-6.528805150235012,ahmadnagar
16.574653723527984,1.4253462764720162,ahmadnagar
17.53868464005188,-17.03868464005188,ahmadnagar
20.597718476003777,-4.597718476003777,ahmadnagar
17.5869672676475,-8.253633934314164,ahmadnagar
20.747554463920196,15.919112202746469,ahmadnagar
20.65228957226999,-2.509432429412847,ahmadnagar
24.160540988383733,6.506125678282935,ahmadnagar
22.144985349166188,-10.478318682499522,ahmadnagar
24.04366721204079,-0.7103338787074591,ahmadnagar
26.467446541506362,-1.911890985950805,ahmadnagar
21.59466576239197,-8.16609433382054,ahmadnagar
21.527738353107374,-5.027738353107374,ahmadnagar
31.494942709670283,22.393946179218602,ahmadnagar
18.865290167860604,-5.8652901678606035,ahmadnagar
21.23956603983471,-5.98956603983471,ahmadnagar
21.43383025200952,-11.433830252009521,ahmadnagar
20.589246991996916,-3.3165197192696425,ahmadnagar
26.010374043357324,-22.13940630142184,ahmadnagar
19.954765320393875,-0.9547653203938751,ahmadnagar
18.478824586770916,-10.812157920104248,ahmadnagar
26.109858486337977,0.04398766750817629,ahmadnagar
16.07506789321977,21.42493210678023,ahmadnagar
18.376646904386625,11.623353095613375,ahmadnagar
16.57183449018169,3.42816550981831,ahmadnagar
21.851857667684584,-1.1375719533988686,ahmadnagar
17.97956678071709,8.02043321928291,ahmadnagar
18.74424289145457,-3.7442428914545687,ahmadnagar
35.249149829498755,-25.249149829498755,ahmadnagar
23.856909768925167,-14.785481197496596,ahmadnagar
17.08626135979331,-11.086261359793308,ahmadnagar
22.193816180336796,12.806183819663204,ahmadnagar
20.39611770076445,0.9372156325688827,ahmadnagar
18.79329545965131,-5.459962126317977,ahmadnagar
21.002383361170537,-11.002383361170537,ahmadnagar
20.321475508315366,-8.892904079743937,ahmadnagar
27.34261696098454,-7.3426169609845395,ahmadnagar
26.05284903744994,1.9471509625500616,ahmadnagar
21.152789494095384,-0.4861228274287157,ahmadnagar
16.339472120746688,-2.839472120746688,ahmadnagar
24.874441712386417,-1.4198962578409642,ahmadnagar
19.80337668288159,-2.3033766828815914,ahmadnagar
22.520214749180543,-2.9202147491805412,ahmadnagar
17.22175096860286,8.028249031397142,ahmadnagar
26.460391714215504,0.9032446494208592,ahmadnagar
23.186413398713725,4.995404783104458,ahmadnagar
21.80221772391984,-7.945074866776981,ahmadnagar
15.33763595737593,2.66236404262407,ahmadnagar
25.905891153568383,-12.269527517204747,ahmadnagar
19.275985669480875,-2.2759856694808747,ahmadnagar
17.80679811403467,2.1932018859653297,ahmadnagar
25.217724036932047,-6.9320097512177625,ahmadnagar
21.855797534013714,-4.855797534013714,ahmadnagar
21.960045011147677,-8.126711677814344,ahmadnagar
17.31832478081527,-7.318324780815271,ahmadnagar
20.224029181155398,4.775970818844602,ahmadnagar
24.224715200403086,5.775284799596914,ahmadnagar
15.34052110477333,-14.34052110477333,ahmadnagar
18.497210874578563,-0.9972108745785633,ahmadnagar
18.78567402070345,-3.1190073540367838,ahmadnagar
17.318620564519232,7.281379435480769,ahmadnagar
18.114280869133832,-5.614280869133832,ahmadnagar
22.396390494888575,-0.8249619234600019,ahmadnagar
18.966496580737275,-13.966496580737275,ahmadnagar
20.318935013677827,-11.985601680344493,ahmadnagar
20.8499178462606,19.1500821537394,ahmadnagar
19.297367482388715,2.3026325176112863,ahmadnagar
36.54035088601717,3.4596491139828274,ahmadnagar
19.096666511620857,-3.4716665116208567,ahmadnagar
18.33057570017438,-7.3305757001743785,ahmadnagar
26.352646536567352,-4.052646536567352,ahmadnagar
17.414755313089938,0.08524468691006248,ahmadnagar
20.725796552270076,1.7742034477299242,ahmadnagar
31.767471948390195,1.0786818977636514,ahmadnagar
22.38632526767472,-5.719658601008053,ahmadnagar
28.23589102650202,-4.069224359835353,ahmadnagar
17.943326254739706,-0.21605352746697903,ahmadnagar
23.24221644102601,4.7577835589739905,ahmadnagar
22.43444058781106,-2.4344405878110607,ahmadnagar
19.621994804347533,7.878005195652467,ahmadnagar
21.379585429044702,6.3704145709552975,ahmadnagar
19.759715280440425,-7.259715280440425,ahmadnagar
19.378372799858465,3.698550277064612,ahmadnagar
16.97070436231091,-16.84751595651381,ahmadnagar
15.565539191185024,-3.165539191185024,ahmadnagar
20.550553993956566,-0.5505539939565658,ahmadnagar
21.37851516423955,-11.378515164239548,ahmadnagar
19.453622117752985,8.546377882247015,ahmadnagar
21.742243824585678,10.257756175414322,ahmadnagar
16.88066300476416,5.619336995235841,ahmadnagar
23.42537784830739,0.5746221516926084,ahmadnagar
17.87702272109249,6.122977278907509,ahmadnagar
19.53156100233777,4.718438997662229,ahmadnagar
23.5565594250862,-3.556559425086199,ahmadnagar
23.990988906944462,-1.1576555736111303,ahmadnagar
19.65114782450043,5.8488521754995695,ahmadnagar
17.442231555991537,-4.942231555991537,ahmadnagar
19.353990780646487,-6.8539907806464875,ahmadnagar
20.371758081332544,0.6282419186674559,ahmadnagar
19.10336775873937,-5.10336775873937,ahmadnagar
19.20576750485178,4.7942324951482185,ahmadnagar
23.995896523983976,-4.745896523983976,ahmadnagar
22.27722281711588,0.7227771828841192,ahmadnagar
21.154812678492885,-1.1548126784928847,ahmadnagar
21.33671004782614,2.6632899521738587,ahmadnagar
16.33176682485037,3.6682331751496307,ahmadnagar
19.35242692074764,-15.185760254080972,ahmadnagar
19.9702832014243,-10.470283201424301,ahmadnagar
17.790968482850715,-2.7909684828507153,ahmadnagar
40.62357203200371,-10.91768967906253,ahmadnagar
21.917657791086157,-4.000991124419489,ahmadnagar
21.376359130468817,-5.376359130468817,ahmadnagar
21.396397207604682,38.60360279239532,ahmadnagar
28.80470659275797,-22.80470659275797,ahmadnagar
16.129251280687836,-0.6292512806878356,ahmadnagar
22.04793054363311,-2.297930543633111,ahmadnagar
21.11314753309483,-8.613147533094828,ahmadnagar
18.621390848417015,11.378609151582985,ahmadnagar
21.28051494064016,6.71948505935984,ahmadnagar
23.257798177246336,13.075535156087,ahmadnagar
20.497687772521875,5.502312227478125,ahmadnagar
23.503621117013374,-5.836954450346706,ahmadnagar
23.265991154564475,-11.265991154564475,ahmadnagar
15.905830590250794,3.094169409749206,ahmadnagar
19.63062056886886,-12.13062056886886,ahmadnagar
20.827719205190192,2.0294236519526656,ahmadnagar
25.12727910097998,24.87272089902002,ahmadnagar
26.920822813179406,-1.2958228131794058,ahmadnagar
20.04995464281709,-5.549954642817092,ahmadnagar
27.098239526364637,-15.348239526364637,ahmadnagar
19.766663505478306,2.7333364945216942,ahmadnagar
25.653518402431494,1.619208870295779,ahmadnagar
19.97293194137288,-5.972931941372881,ahmadnagar
22.953985442323436,-9.453985442323436,ahmadnagar
20.732106531801705,-1.9821065318017048,ahmadnagar
21.19834702746245,8.80165297253755,ahmadnagar
22.369745726609644,2.2969209400570243,ahmadnagar
19.408563175303442,1.591436824696558,ahmadnagar
16.445947347082345,1.5540526529176546,ahmadnagar
20.7663946884281,5.2336053115719,ahmadnagar
22.12205043274765,122.87794956725236,ahmadnagar
30.633582953467847,-0.6335829534678474,ahmadnagar
28.80447834497589,-5.895387435884981,ahmadnagar
16.63333223714464,1.3666677628553607,ahmadnagar
34.73863107370263,-10.738631073702628,ahmadnagar
22.98203895151363,-2.6487056181802977,ahmadnagar
17.183492780049097,-2.9481986624020387,ahmadnagar
16.391416596622143,-3.8914165966221432,ahmadnagar
21.23320740740332,-7.23320740740332,ahmadnagar
23.581158485030777,-6.581158485030777,ahmadnagar
20.75288475539392,4.2471152446060785,ahmadnagar
18.794839337048852,-3.7948393370488525,ahmadnagar
19.026718045682646,9.723281954317354,ahmadnagar
18.120609466427574,-1.7206094664275753,ahmadnagar
20.15995185052063,1.173381482812701,ahmadnagar
21.635053861138797,-8.635053861138797,ahmadnagar
19.161057509234322,-5.494390842567656,ahmadnagar
22.949151565167597,18.717515101499067,ahmadnagar
16.712308580046887,5.087691419953114,ahmadnagar
24.363020803640094,11.636979196359906,ahmadnagar
21.87108723681934,-1.8710872368193385,ahmadnagar
18.641376329231207,10.358623670768793,ahmadnagar
18.715871745153354,-8.215871745153354,ahmadnagar
20.744289378120456,1.255710621879544,ahmadnagar
18.52207870027806,36.47792129972194,ahmadnagar
18.228233293737077,15.771766706262923,ahmadnagar
26.636035608341924,-4.698535608341924,ahmadnagar
47.210072292374065,-19.171610753912525,ahmadnagar
14.525457713155696,2.4745422868443043,ahmadnagar
22.332812102412717,-19.90424067384129,ahmadnagar
22.131424555031412,-5.381424555031412,ahmadnagar
19.32818214812508,2.9575321375892045,ahmadnagar
24.580538178609917,-11.080538178609917,ahmadnagar
20.122152344540925,-5.122152344540925,ahmadnagar
18.043881714168986,3.956118285831014,ahmadnagar
20.131538118893,-11.798204785559667,ahmadnagar
24.70327302897314,-5.57827302897314,ahmadnagar
20.821501646379655,-8.321501646379655,ahmadnagar
17.82545999742363,3.6031114311477985,ahmadnagar
20.491310412459853,-0.15797707912652115,ahmadnagar
21.29721635856702,-1.7972163585670202,ahmadnagar
21.322628537288523,-8.155961870621857,ahmadnagar
18.969561435728636,11.030438564271364,ahmadnagar
28.45957815524308,1.273755178090255,ahmadnagar
19.28174407106425,43.21825592893575,ahmadnagar
17.465376620206694,-12.465376620206694,ahmadnagar
16.138413815643673,-3.1384138156436734,ahmadnagar
23.439622918624508,5.560377081375492,ahmadnagar
19.245607720260185,-5.745607720260185,ahmadnagar
35.31996565516965,-11.253298988502987,ahmadnagar
12.736698349585307,-8.403365016251975,ahmadnagar
21.244330062463046,-6.744330062463046,ahmadnagar
18.6524486834523,2.847551316547701,ahmadnagar
19.81865323672899,-2.0186532367289907,ahmadnagar
21.185678901815802,-1.4129516290885284,ahmadnagar
19.15653768810527,-0.8232043547719385,ahmadnagar
21.304413550750226,17.695586449249774,ahmadnagar
24.958075722907555,25.041924277092445,ahmadnagar
18.398398153628648,-5.04125529648579,ahmadnagar
27.97029176612932,-1.1131489089864637,ahmadnagar
23.705825004685906,3.601867303006401,ahmadnagar
20.72643419876474,11.27356580123526,ahmadnagar
28.88381743817882,-17.38381743817882,ahmadnagar
16.31423024848422,3.6857697515157817,ahmadnagar
20.294495465397965,-3.0087811796836803,ahmadnagar
20.255798175401413,4.787680085468153,ahmadnagar
21.771611402961266,2.117277485927623,ahmadnagar
25.390523342551646,-3.0571900092183135,ahmadnagar
